UPC,IMDB
012569736740,tt0407887
012569736757,tt0407887
012569736764,tt0419843
012569736788,tt0433383
012569736795,tt0445620
012569737969,tt0338348
012569738225,tt1018785
012569738652,tt0275137
012569738669,tt0275137
012569739864,tt0053131
012569739871,tt0108778
012569740648,tt0338348
012569740655,tt0338348
012569741874,tt0108778
012569743144,tt0367594
012569743151,tt0367594
012569743908,"tt0403508,tt0286788"
012569744929,tt0111756
012569745209,tt0108778
012569745216,tt0108778
012569745674,tt0360486
012569745681,tt0133093
012569745698,tt0234215
012569745704,tt0244244
012569745711,tt0165929
012569745735,tt0070034
012569745742,tt0372784
012569745759,tt0139654
012569745773,tt0367594
012569745780,tt0267913
012569745827,tt0397065
012569745872,tt0800226
012569746640,tt0109279
012569746657,tt0094824
012569746664,tt0101745
012569746671,tt0119123
012569746688,tt0083943
012569746695,tt0113228
012569746718,tt0116996
012569746725,tt0100240
012569746732,tt0120800
012569746763,tt0100994
012569746923,tt0372784
012569749498,tt0181852
012569749528,tt0241527
012569749559,tt0096895
012569749894,tt0089218
012569750081,tt0147746
012569750630,tt0120171
012569750999,tt0461688
012569751163,tt0428803
012569753419,tt0078346
012569753426,tt0081573
012569753846,tt0377818
012569755222,tt0108778
012569755239,tt0108778
012569755406,tt0108757
012569755413,tt0108757
012569757134,tt0377818
012569757301,tt0428803
012569757479,tt0417001
012569757516,tt0377818
012569757554,tt0121164
012569757615,tt0373469
012569758179,tt0078607
012569758186,tt0078607
012569758315,tt0078607
012569758377,tt0205271
012569759206,tt0085412
012569760295,tt0385002
012569760301,tt0427403
012569760899,tt0119054
012569761780,tt0106057
012569761797,tt0106057
012569761926,tt0106057
012569761933,tt0106057
012569761940,tt0106057
012569762077,tt0106057
012569762305,tt0362359
012569762312,tt0362359
012569762473,tt0238784
012569762480,tt0238784
012569762619,tt0238784
012569763685,tt0426931
012569763708,tt0348150
012569763715,tt0466856
012569763722,tt0466856
012569763739,tt0443680
012569763753,tt0452637
012569763760,tt0452637
012569764019,tt0094612
012569764026,tt0080360
012569764033,tt0118661
012569764057,tt0066832
012569764064,tt0099165
012569764071,tt0112571
012569764101,tt0104265
012569764125,tt0119592
012569764132,tt0096018
012569764149,tt0105415
012569764156,tt0094027
012569764163,tt0111732
012569764538,tt0330373
012569764545,tt0330373
012569764552,tt0330373
012569765009,tt0118248
012569765832,tt0156812
012569766396,tt0108757
012569766426,tt0175159
012569766761,tt0088206
012569766778,tt0372784
012569766945,tt0108778
012569769137,tt4463904
"012569769175,883929285778",tt0412253
012569791916,tt0062622
012569791978,tt0056264
012569792050,tt0061578
012569792067,tt0062622
012569792074,tt0029843
012569792081,tt0034583
012569792104,tt0049223
012569792135,tt0056264
012569793057,tt0049223
012569793958,tt0061578
012569794689,tt0033717
012569794795,tt0059674
012569796317,tt0035829
012569796348,tt0049223
012569797055,tt0059274
012569797208,tt0082992
012569797215,tt0084675
012569797529,tt0059224
012569797536,tt0057227
012569797543,tt0063231
012569797550,tt0063643
012569797710,tt0034583
012569797734,tt0052618
012569797833,tt0050556
012569797840,tt0058725
012569797918,tt0034583
012569798380,tt0062622
012569798397,tt0029843
012569798434,tt0050556
012569798441,tt0050556
012569798465,tt0058725
012569798472,tt0058725
012569798496,tt0084516
012569798595,tt0040064
012569798601,tt0056085
012569798625,tt0038160
012569798809,tt0061595
012569798816,tt0059255
012569798847,tt0061015
012569799486,tt0074812
012569799714,tt0056085
012569799981,tt0074812
012569799998,tt0070723
012569800809,tt0093409
012569800984,tt0147746
012569804388,tt0395972
012569805125,tt0271882
012569806092,tt0103855
012569806108,tt0356470
012569806115,tt0139462
012569806122,tt0417001
012569806139,tt0293508
012569806146,tt0230838
012569806153,tt0128853
012569806160,tt0433383
012569806207,tt0445620
012569806726,tt0066921
012569806733,tt0120663
012569806771,tt0118248
012569807211,tt0346491
012569807228,tt0346491
012569807259,tt0071230
012569807266,tt0071230
012569807358,tt0332452
012569807365,tt0332452
012569807471,tt0385002
012569807716,tt0365737
012569807723,tt0365737
012569807914,tt0373469
